Date,SP500_Close,SP500_Volume,VIX_Close
1/1/2000,1455.219971,931800000,24.209999
1/2/2000,1455.219971,931800000,24.209999
1/3/2000,1455.219971,931800000,24.209999
1/4/2000,1399.420044,1.01E+09,27.01
1/5/2000,1402.109985,1085500000,26.41
1/6/2000,1403.449951,1092300000,25.73
1/7/2000,1441.469971,1225200000,21.719999
1/8/2000,1441.469971,1225200000,21.719999
1/9/2000,1441.469971,1225200000,21.719999
1/10/2000,1457.599976,1064800000,21.709999
1/11/2000,1438.560059,1.01E+09,22.5
1/12/2000,1432.25,974600000,22.84
1/13/2000,1449.680054,1030400000,21.709999
1/14/2000,1465.150024,1085900000,19.66
1/15/2000,1465.150024,1085900000,19.66
1/16/2000,1465.150024,1085900000,19.66
1/17/2000,1465.150024,1085900000,19.66
1/18/2000,1455.140015,1056700000,21.5
1/19/2000,1455.900024,1087800000,21.719999
1/20/2000,1445.569946,1100700000,21.75
1/21/2000,1441.359985,1209800000,20.82
1/22/2000,1441.359985,1209800000,20.82
1/23/2000,1441.359985,1209800000,20.82
1/24/2000,1401.530029,1115800000,24.07
1/25/2000,1410.030029,1073700000,23.02
1/26/2000,1404.089966,1117300000,23.030001
1/27/2000,1398.560059,1129500000,23.540001
1/28/2000,1360.160034,1095800000,26.139999
1/29/2000,1360.160034,1095800000,26.139999
1/30/2000,1360.160034,1095800000,26.139999
1/31/2000,1394.459961,993800000,24.950001
2/1/2000,1409.280029,9.81E+08,23.450001
2/2/2000,1409.119995,1038600000,23.120001
2/3/2000,1424.969971,1146500000,22.01
2/4/2000,1424.369995,1045100000,21.540001
2/5/2000,1424.369995,1045100000,21.540001
2/6/2000,1424.369995,1045100000,21.540001
2/7/2000,1424.23999,918100000,22.790001
2/8/2000,1441.719971,1047700000,21.25
2/9/2000,1411.709961,1050500000,22.9
2/10/2000,1416.829956,1058800000,23.07
2/11/2000,1387.119995,1025700000,24.42
2/12/2000,1387.119995,1025700000,24.42
2/13/2000,1387.119995,1025700000,24.42
2/14/2000,1389.939941,927300000,24.379999
2/15/2000,1402.050049,1092100000,22.92
2/16/2000,1387.670044,1018800000,23.51
2/17/2000,1388.26001,1034800000,23.17
2/18/2000,1346.089966,1042300000,26
2/19/2000,1346.089966,1042300000,26
2/20/2000,1346.089966,1042300000,26
2/21/2000,1346.089966,1042300000,26
2/22/2000,1352.170044,9.80E+08,25.860001
2/23/2000,1360.689941,993700000,23.889999
2/24/2000,1353.430054,1.22E+09,24.379999
2/25/2000,1333.359985,1065200000,25.200001
